id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
646276083976193412,Walk Score 97 | Cozy Home | Rooftop City View,398317720,Ying,Capitol Hill,Broadway,47.61784734,-122.3134334,Entire home/apt,142,1,95,12/1/2024,3.1,71,351,20,STR-OPLI-22-000944
646302173365139407,Modern Luxury | Rooftop Views | Free Parking,398317720,Ying,Other neighborhoods,Fremont,47.6619091,-122.3508523,Entire home/apt,221,1,92,11/24/2024,3.01,71,95,34,STR-OPLI-22-000956
646321998874157520,Lower Queen Anne Townhome,7435040,Vacation Rental LLC,Queen Anne,Lower Queen Anne,47.62659,-122.35164,Entire home/apt,127,1,93,12/16/2024,3.17,37,361,29,STR-OPLI-24-000172
646882750791214445,West Seattle rental unit 5 min from Alki beach,382873558,Alyssa,West Seattle,Alki,47.59245,-122.3832,Entire home/apt,91,2,127,12/1/2024,4.76,1,303,59,STR-OPLI-22-001640
647095526520943801,Inviting Cottage by Childrens Hospital & U-Village,48434436,Jim And Connie,Other neighborhoods,Bryant,47.6647,-122.28793,Entire home/apt,99,3,69,11/30/2024,2.39,2,279,24,STR-OPLI-22-001172
647344713173205743,"Private floor, rooftop access, great location",434468730,Erik,West Seattle,Fauntleroy,47.51803289999999,-122.3771285,Private room,,30,0,,,1,0,0,STR-OPLI-22-001659
648392546699513710,Bright Magnolia Home with Vaulted Ceilings,32262937,Austin,Magnolia,Lawton Park,47.65401,-122.40206,Entire home/apt,145,30,11,10/15/2024,0.4,2,258,4,
648470474169379639,Portage Bay Bungalow,342326557,Gabe,Capitol Hill,Portage Bay,47.64661512099587,-122.3179633,Entire home/apt,,5,22,8/28/2023,1.07,1,0,0,STR-OPLI-23-000046
648654488982185689,West Seattle Garden Cottage by Lincoln Park,38394710,Sofia,West Seattle,Gatewood,47.5414,-122.39264,Entire home/apt,70,2,137,12/9/2024,4.53,1,346,46,STR-OPLI-22-001018
648660807559416347,"Cozy daylight basement, Sleeps 6, close 2 beach",3781211,Cheryl,West Seattle,Seaview,47.55514877978651,-122.3928709,Entire home/apt,116,1,23,5/12/2024,1.2,1,118,4,STR-OPLI-22-001969
648722020082279666,Seattle's Ballard new studio,247088829,Edward,Ballard,Adams,47.67158,-122.38187,Entire home/apt,,1,87,11/10/2024,2.86,5,356,23,STR-OPLI-19-000832
648737139631775894,Cheerful queen Bed Room with AC,148119462,Michelle,Rainier Valley,Dunlap,47.52817,-122.27823,Private room,59,2,106,12/2/2024,3.58,5,354,42,STR-OPLI-22-000703
648800687398219769,Hello  happy room,30559,Angielena,Other neighborhoods,Georgetown,47.54942,-122.31952,Private room,69,2,64,10/7/2024,2.09,11,364,28,Exempt
649177545785338804,Level Seattle - Beautiful One Bedroom Suite,452014951,Level Seattle,Cascade,South Lake Union,47.6188683,-122.3354255,Entire home/apt,156,30,2,1/31/2024,0.08,46,365,1,
649186553043651727,Level Seattle- Spacious One Bedroom & Office Suite,452014951,Level Seattle,Cascade,South Lake Union,47.6188683,-122.3354255,Entire home/apt,186,30,0,,,46,365,0,
649191772606346472,Level Seattle - Modern Studio Suite,452014951,Level Seattle,Cascade,South Lake Union,47.6188683,-122.3354255,Entire home/apt,144,30,2,5/4/2024,0.16,46,365,1,
649196681445360312,Level Seattle - Deluxe One Bedroom Suite,452014951,Level Seattle,Cascade,South Lake Union,47.6188683,-122.3354255,Entire home/apt,180,30,0,,,46,365,0,
649353151120081387,The Radiant Suite - Relax & Unwind Rain or Shine,14107195,Jean-Sébastien,Other neighborhoods,Fremont,47.65637,-122.35334,Entire home/apt,228,3,23,11/15/2024,0.78,4,70,9,STR-OPLI-19-001250
649359520366432448,Fully renovated modern bungalow with private lawn,118262443,Kathleen,Beacon Hill,Mid-Beacon Hill,47.5540966,-122.300821,Entire home/apt,240,30,16,7/8/2024,0.53,1,176,3,STR-OPLI-21-000967
649450760482041937,Fremont 3 Bed 3 Bath Townhome with Private Patio,458295751,Emma,Other neighborhoods,Fremont,47.65275,-122.35339,Entire home/apt,199,3,67,11/17/2024,2.2,12,169,24,STR-OPLI-22-000955
649539351472017064,Modern Green Lake Guesthouse (w/AC and EV Charger),1526315,Bryan,Other neighborhoods,Green Lake,47.6893069,-122.3414698,Entire home/apt,130,1,236,12/15/2024,7.7,3,17,91,STR-OPLI-19-001605
649548799545530409,Lovely queen bed Room near light rail station,148119462,Michelle,Rainier Valley,Dunlap,47.52692,-122.27783,Private room,57,2,101,11/3/2024,3.36,5,358,44,STR-OPLI-22-000703
649623456438981540,"Madison Park 2-bedroom townhouse, patios, parking",10492952,Aric,Capitol Hill,Madison Park,47.63825,-122.2795,Entire home/apt,239,30,1,7/31/2022,0.03,1,364,0,
649677449804117549,"Blueground | Downtown, gym, nr dining & shops",107434423,Blueground,Downtown,Central Business District,47.6090514,-122.3384516,Entire home/apt,,31,0,,,327,257,0,
649924590725980346,ALKI BEACH Getaway #2  (30 days+) 2 Bdr-2 Bth-Deck,403710778,Kim,West Seattle,North Admiral,47.58253,-122.40113,Entire home/apt,97,30,5,9/15/2024,0.26,2,36,3,
650049887997129286,Guesthouse in Phinney Ridge Seattle with VIEW,92546054,Deneen,Other neighborhoods,Phinney Ridge,47.66315,-122.35652,Entire home/apt,161,2,129,12/14/2024,4.3,1,334,49,STR-OPLI-22-001100
